,id,start_date,end_date,created_on,latitud,longitud,place_l2,place_l3,place_l4,place_l5,place_l6,operation,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_currency,property_title
446819,ajyQoLA/jXLSzjmNPM3NiQ==,2021-01-14,9999-12-31,2021-01-14,-34.6008127476,-58.4976199916,Capital Federal,Villa del Parque,,,,Venta,Departamento,1.0,,45.0,41.0,130000.0,USD,VENTA MONOAMBIENTE DIVISIBLE C/ COCHERA EN VILLA DEL PARQUE
135148,pfyZ2qXD8HhKDGppAPLpTg==,2021-04-06,2021-04-15,2021-04-06,-34.5562983,-58.4399227,Capital Federal,Belgrano,,,,Venta,Departamento,5.0,3.0,175.0,141.0,579000.0,USD,Departamento - Belgrano
445316,0Wd/m5GJQ6bdFr2mMiA/jQ==,2021-05-20,2021-06-05,2021-05-20,-34.6129077,-58.3861738,Capital Federal,Congreso,,,,Venta,Departamento,1.0,,25.0,,49000.0,USD,Venta | Monoambiente | Monserrat
217317,9N4c38vkIR/q+wiAwe3zVw==,2021-09-04,2021-12-16,2021-09-04,-34.5793526,-58.4087382,Capital Federal,Palermo,Palermo Chico,,,Venta,Departamento,2.0,1.0,42.0,42.0,110000.0,USD,Departamento 2 ambientes Palermo  venta segui 3500
58723,dNUWuzDkOrpK1blP/sIWMA==,2021-03-13,2021-07-12,2021-03-13,-34.6283823,-58.4556743,Capital Federal,Flores,,,,Venta,PH,4.0,3.0,174.0,138.0,198000.0,USD,Venta PH 4 ambientes Flores
189007,vbmbNuZv4fC8A5fdnB72ow==,2021-06-04,2021-08-03,2021-06-04,-34.607272,-58.410402,Capital Federal,Balvanera,,,,Venta,PH,2.0,1.0,87.0,87.0,109000.0,USD,Venta PH 2AMB Balvanera Abasto
390975,+rifJtH3C1Cbcwuh3/U27w==,2021-04-12,2021-05-10,2021-04-12,-34.5844994,-58.439725,Capital Federal,Palermo,Palermo Hollywood,,,Venta,Casa,10.0,4.0,,560.0,1500000.0,USD,CASA · 4 DORMITORIOS · CABRERA AL 5700 · PALERMO
428724,V/Zjw5WgyFMxLOkkEZJKDw==,2021-12-16,2022-02-09,2021-12-16,-34.5812533,-58.4529544,Capital Federal,Chacarita,,,,Venta,Departamento,2.0,1.0,43.0,41.0,66000.0,USD,Depto 2 ambientes en Chacarita límite Colegiales
68092,nfqAwvM7ejLia2kfd3+u3Q==,2021-03-27,2021-05-01,2021-03-27,-34.573855,-58.4219,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,72.0,65.0,219000.0,USD,VENTA DEP. 2 AMB. C/ RENTA PALERMO HOLLYWOOD
115532,qUMUZuxnLnXkdzf+df8U2Q==,2021-12-07,2022-01-27,2021-12-07,-34.5690379,-58.475822,Capital Federal,Villa Urquiza,,,,Venta,Departamento,3.0,2.0,62.0,60.0,162000.0,USD,DEPARTAMENTO 3 AMBIENTES - VILLA URQUIZA
2641,NLrS39IcPG3e1PTx5lSLaw==,2021-12-17,2022-01-27,2021-12-17,-34.6058669,-58.398864,Capital Federal,Balvanera,,,,Venta,Departamento,2.0,1.0,,28.0,58000.0,USD,Departamento listo para entrar a vivir o trabajar!
136262,o5K0z/BqbN4TjtGU2Mf8XA==,2021-10-06,2022-03-09,2021-10-06,-34.6283604,-58.4505511,Capital Federal,Caballito,,,,Venta,Departamento,4.0,3.0,98.0,90.0,230000.0,USD,Departamento - Caballito
338199,EF5s1QVsqnpJs1SmwciPNg==,2021-04-13,2021-06-05,2021-04-13,-34.577177991,-58.4758286958,Capital Federal,Villa Urquiza,,,,Venta,Casa,,3.0,150.0,105.0,248900.0,USD,IMPECABLE CASA DE 4 AMBIENTES C/TERRAZA - EXCELENTE UBICACIÓN
422565,3nXN2lcAF9Im8AKd/Ev5ZA==,2021-07-07,2022-06-11,2021-07-07,-34.6053792,-58.3834827,Capital Federal,San Nicolás,,,,Venta,Departamento,2.0,1.0,40.0,35.0,48000.0,USD,VENTA. Departamento -2 ambientes - Balcón - Luminoso - San Nicolas
363751,reK4riGKpvCHzKaECbrnxA==,2021-01-16,2021-03-18,2021-01-16,-34.598984,-58.4870241,Capital Federal,Villa del Parque,,,,Venta,Departamento,1.0,,36.0,34.0,83000.0,USD,MONOAMBIENTE A ESTRENAR INMEJORABLE ZONA DE VILLA DEL PARQUE.
9405,9UZkj2mMPYeQ8leOa+SkSQ==,2021-05-18,2021-06-05,2021-05-18,-34.5781081,-58.4241936,Capital Federal,Palermo,,,,Venta,Departamento,4.0,3.0,118.0,110.0,575000.0,USD,EXCELENTE 4 AMBIENTES EN  TORRE QUANTUM BERUTI !!!
280305,2El66ufGkYKROIjNR1Lrrg==,2021-07-12,2021-12-02,2021-07-12,-34.5933818,-58.3801507,Capital Federal,Barrio Norte,,,,Venta,Departamento,5.0,4.0,185.0,175.0,489000.0,USD,"VENTA Departamento 3 dormitorios, escritorio, dependencia y Cochera   RECOLETA"
425625,cfzFU60mX+YMN5T4+GVy9A==,2021-12-16,2022-02-09,2021-12-16,-34.611829,-58.4222142,Capital Federal,Almagro,,,,Venta,Departamento,4.0,2.0,101.0,101.0,155000.0,USD,Excelente dpto de 4 amb en Almagro (3amb c/dep)
81871,pwvsjfSE4xoBLDGEv8sujA==,2021-03-12,2021-06-05,2021-03-12,-34.5819485,-58.4043451,Capital Federal,Palermo,Palermo Chico,,,Venta,Departamento,3.0,2.0,125.0,116.0,750000.0,USD,Departamento - Palermo Chico
11721,UXH8aP5ssmv1OjOcOjNXvg==,2021-07-06,2021-09-01,2021-07-06,-34.5830822,-58.4911139,Capital Federal,Villa Urquiza,,,,Venta,Casa,6.0,4.0,387.0,294.0,380000.0,USD,"Venta Villa Urquiza -entrada independiente- con patio, terraza y quincho"
403400,lrnKPRb/8DGXI1giiTzYjw==,2021-09-07,2021-09-30,2021-09-07,-34.562927,-58.491511,Capital Federal,Villa Urquiza,,,,Venta,Departamento,2.0,1.0,47.0,47.0,94000.0,USD,Departamento 2 ambientes en venta Villa Urquiza.
100150,UFKsV4Ov3fh6aRvysgivSw==,2021-04-07,2021-04-15,2021-04-07,-34.5869881,-58.4770471,Capital Federal,Parque Chas,,,,Venta,PH,3.0,2.0,82.0,60.0,185000.0,USD,Venta - PH - Parque Chas - 3 ambientes - terraza - parrilla - Oportunidad
62355,b4/Td6R7gGA/pslOSmw1aw==,2021-05-01,2021-10-30,2021-05-01,-34.5969517,-58.4119104,Capital Federal,Barrio Norte,,,,Venta,Departamento,1.0,,35.0,34.0,83000.0,USD,VENTA MONOAMBIENTE GRANDE EN BARRIO NORTE
405272,f0j0vRkfBQUg9LkKhc/Nmw==,2021-01-07,2021-01-09,2021-01-07,-34.634638,-58.473519,Capital Federal,Floresta,,,,Venta,PH,4.0,3.0,8306.0,7755.0,129000.0,USD,VENTA PH 4 AMBIENTES FLORESTA
53915,sXNaSu+KAQtMUUsXS2l6sw==,2021-09-22,2021-12-02,2021-09-22,-34.6088825,-58.3768414,Capital Federal,San Telmo,,,,Venta,Departamento,1.0,,24.0,22.0,55000.0,USD,Departamento - San Telmo
99595,L69mX0uK0VYDwVfex5KDCQ==,2021-10-30,2022-01-27,2021-10-30,-34.5891714,-58.4348507,Capital Federal,Palermo,,,,Venta,PH,2.0,1.0,86.0,82.0,150000.0,USD,"PH 2 ambientes amplios, patio, lavadero, doble circulación. Apto comercial. Exc. ubicación"
48519,P9oB/Gvv0VDNRCv6hy4Xag==,2021-08-15,2021-09-03,2021-08-15,-34.5502108,-58.4597973,Capital Federal,Nuñez,,,,Venta,Departamento,2.0,1.0,82.0,58.0,238500.0,USD,Departamento - Nuñez
23400,n2eTo1Xix5DIini8QynB3w==,2021-10-01,2022-02-09,2021-10-01,-34.6014448,-58.4336114,Capital Federal,Villa Crespo,,,,Venta,Departamento,2.0,1.0,44.0,43.0,99000.0,USD,VENTA 2 AMBIENTES VILLA CRESPO
254541,E+YI9gQgXgBLUfYdQRY/qg==,2021-08-20,2021-12-05,2021-08-20,-34.5545188,-58.4915986,Capital Federal,Saavedra,,,,Venta,Departamento,3.0,2.0,55.0,55.0,140000.0,USD,DEPARTAMENTO 3 AMB. CON VISTA PANORÁMICA
432690,VthYfFCqmOvo9d0dWSShJw==,2021-05-04,2021-06-05,2021-05-04,-34.6109273,-58.450313,Capital Federal,Caballito,,,,Venta,PH,3.0,2.0,64.0,64.0,122000.0,USD,PH - Caballito Norte
97052,mfWTuFKj83hKig/Kf4LrIw==,2021-10-04,2021-11-09,2021-10-04,-34.5926397,-58.3950119,Capital Federal,Recoleta,,,,Venta,Departamento,3.0,2.0,94.0,94.0,250000.0,USD,DEPARTAMENTO 2 DORMITORIOS EN RECOLETA
233493,i51AYzTE2x66SqlPklYbTg==,2021-03-20,2021-04-19,2021-03-20,-34.5900443,-58.4492198,Capital Federal,Chacarita,,,,Venta,Departamento,2.0,1.0,43.0,39.0,109800.0,USD,Venta Dos Ambientes con Amenities Chacarita
221107,WffAUU8DS5BUuPSJ8V2aRw==,2021-06-30,2022-04-25,2021-06-30,-34.6085620947,-58.4431567455,Capital Federal,Caballito,,,,Venta,Departamento,3.0,2.0,57.0,50.0,99000.0,USD,Departamento - Caballito
234201,Gh5eHyaBI7Iss3s1TSlmiA==,2021-06-02,2021-06-05,2021-06-02,-34.6218216,-58.4060906,Capital Federal,Boedo,,,,Venta,PH,3.0,2.0,75.0,68.0,100000.0,USD,Excelente PH reciclado con un muy buen gusto y calidad. 
169945,TlY/s/S0+DK/cjaDmGvCbg==,2021-07-28,2021-08-08,2021-07-28,-34.5826977438,-58.4155082703,Capital Federal,Palermo,,,,Venta,Departamento,5.0,4.0,212.0,212.0,480000.0,USD,DEPARTAMENTO VENTA 5 AMBIENTES  PALERMO BOTÁNICO
85082,RGiD7etrtmmyTs8sNjBXGA==,2021-03-26,2021-03-31,2021-03-26,-34.5521366,-58.4668494,Capital Federal,Nuñez,,,,Venta,Departamento,4.0,3.0,105.0,105.0,320000.0,USD,"VENTA depto 4 amb en Town House, Amenities, Vig Priv - Manuela Pedraza 2400, Belgrano"
33030,IJjjCu8J2MJo75pQZVSSGg==,2021-02-08,2021-03-18,2021-02-08,-34.634055,-58.458894,Capital Federal,Flores,,,,Venta,Departamento,5.0,3.0,83.0,83.0,170000.0,USD,Hermoso 4 Amb.  Con Cochera fija y Balcon
182310,oXPsn2rJ8VLWDS6cJQsKug==,2021-08-06,2021-12-15,2021-08-06,-34.5866448,-58.4872055,Capital Federal,Parque Chas,,,,Venta,Departamento,1.0,,44.0,,90000.0,USD,VENTA MONOAMBIENTE EN PARQUE CHAS. MUY  LUMINOSO Y SILENCIOSO
53960,eG1qR5c2MNbL8eddbMHb2Q==,2021-09-22,2022-03-25,2021-09-22,-34.6431067,-58.4952854,Capital Federal,Villa Luro,,,,Venta,Departamento,2.0,1.0,42.0,42.0,73500.0,USD,DEPARTAMENTO 2 AMB. EN VILLA LURO
267986,4pE1q1Y5RxaaQETFrNXNog==,2021-07-09,2021-07-18,2021-07-09,-34.5802597629,-58.4386181831,Capital Federal,Palermo,,,,Venta,Departamento,1.0,,34.0,32.0,85000.0,USD,Departamento Monoambiente en Palermo
333913,QT59+WFXLPqaWziq6y+yRA==,2021-12-28,2022-02-09,2021-12-28,-34.6462719712,-58.5123682022,Capital Federal,Liniers,,,,Venta,Departamento,4.0,3.0,139.0,119.0,396000.0,USD,Venta A Estrenar Piso 4 amb con dos Cocheras
405596,426xHP+/ophiYzNV2s9Ibw==,2021-01-07,9999-12-31,2021-01-07,-34.5725081,-58.4647572,Capital Federal,Belgrano,,,,Venta,Casa,6.0,4.0,492.0,334.0,1500000.0,USD,IMPRESIONANTE CASA DE 6 AMBIENTES - MASTER SUITE - JARDIN - 2 COCHERAS - BELGRANO R
340458,u/HRuSrn5fu0q+GZ1XYAcA==,2021-09-28,2022-03-09,2021-09-28,-34.5808009,-58.5054065,Capital Federal,Villa Pueyrredón,,,,Venta,PH,3.0,2.0,117.0,57.0,180000.0,USD,PH - Villa Pueyrredon
10171,wUr6B4RvbsJJnZxXMm8lZA==,2021-05-18,2021-07-23,2021-05-18,-34.6599151,-58.4809827,Capital Federal,Villa Lugano,,,,Venta,Departamento,2.0,1.0,39.0,38.0,42000.0,USD,2 Ambientes   Oportunidad!!!
9684,yfxGGtPyJqTUvhi6xyVvFA==,2021-05-18,2021-06-05,2021-05-18,,,Capital Federal,Belgrano,,,,Venta,Departamento,4.0,3.0,220.0,220.0,775000.0,USD,4AMB C/COCHERA - Belgrano Barrancas
278770,IhMxZ7IDPkc+8nY41CCO8Q==,2021-10-21,2022-07-15,2021-10-21,-34.5834931,-58.42776,Capital Federal,Palermo,,,,Venta,Departamento,1.0,,40.0,34.0,110000.0,USD,Hermoso monoambiente divisible con balcón aterrazado y Baulera. Cochera Opcional
129967,yxQXaPn1VbtCw9zBluodLQ==,2021-09-11,2022-02-09,2021-09-11,-34.5899405984,-58.4005737305,Capital Federal,Recoleta,,,,Venta,Departamento,3.0,2.0,87.0,87.0,198000.0,USD,Departamento en Venta 3 ambientes Recoleta
288250,rAgLI1Dz7S9QnY/Wa3Binw==,2021-02-25,2021-06-05,2021-02-25,-34.6327199,-58.3710646,Capital Federal,Barracas,,,,Venta,Casa,4.0,3.0,309.0,309.0,1200000.0,USD,4 AMBIENTES |Barracas GUALEGUAY al 1285/00
356901,VouRtsh9Uk9gyMHqUSKLQQ==,2021-11-18,2022-01-27,2021-11-18,-34.6005971,-58.38782,Capital Federal,Tribunales,,,,Venta,Departamento,1.0,1.0,27.0,27.0,49500.0,USD,Departamento en venta Tribunales Oportunidad de Inversión.
188463,EeO5dFIQzZPN8l6uKXDpfA==,2021-03-21,2021-03-26,2021-03-21,-34.5855482,-58.3974892,Capital Federal,Recoleta,,,,Venta,Departamento,4.0,3.0,131.0,118.0,469000.0,USD,Venta Departamento 4 ambientes en La Isla
125090,fmCmjnSAZ4bEFD0W/9uPaw==,2021-11-26,9999-12-31,2021-11-26,-34.5893395,-58.4069204,Capital Federal,Barrio Norte,,,,Venta,Departamento,1.0,,38.0,38.0,122000.0,USD,Departamento - Barrio Norte
51888,RFt7Ry8zMoHkVOCP1HPXcw==,2021-03-28,2021-04-15,2021-03-28,-34.5984704,-58.3946725,Capital Federal,Recoleta,,,,Venta,Departamento,4.0,2.0,135.0,107.0,275000.0,USD,Departamento - Recoleta
311585,NpZeT8+td2NElA68xRBOvQ==,2021-04-25,2021-07-23,2021-04-25,-34.6025516,-58.4693061,Capital Federal,Villa General Mitre,,,,Venta,Departamento,3.0,2.0,59.0,56.0,95000.0,USD,Venta Departamento 3 Ambientes Villa  Mitre
894,O+u2JYqhMZNOIE4itZjbUw==,2021-09-09,2021-09-21,2021-09-09,-34.615348,-58.390987,Capital Federal,Monserrat,,,,Venta,Departamento,1.0,1.0,43.0,43.0,55000.0,USD,Venta departamento mono /2 amb Monserrat Permuta 
393584,Mnuwe/0LQsB42cRWw62spw==,2021-02-13,2021-03-05,2021-02-13,-34.5846641,-58.4621394,Capital Federal,Villa Ortuzar,,,,Venta,PH,3.0,2.0,80.0,65.0,160000.0,USD,VENTA PH 3 AMBIENTES CON PATIO Y PARRILLA 
157899,hM9keCAT7UOQzJoo4oTVig==,2021-05-26,2021-06-05,2021-05-26,-34.5861191,-58.4399952,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,,54.0,149000.0,USD,Departamento a Estrenar - Palermo 54mts mas 12 de patio al frente ! UNICO
204942,xbdPCUUYCtNF3TIeOTq0tA==,2021-12-11,2022-01-27,2021-12-11,-34.621728,-58.4427376,Capital Federal,Caballito,,,,Venta,Departamento,3.0,2.0,69.0,,149000.0,USD,Departamento - Caballito
113591,lIOfcbQh2k1hyfYCBlvnPw==,2021-06-09,9999-12-31,2021-06-09,-34.5760274,-58.4199525,Capital Federal,Palermo,,,,Venta,Departamento,4.0,3.0,180.0,160.0,699000.0,USD,Kennedy y Av. Cerviño - Palermo
444433,JRlzfE/vA66DBebLWFYNeA==,2021-05-20,2021-06-05,2021-05-20,-34.6228948,-58.5207684,Capital Federal,Villa Real,,,,Venta,PH,2.0,1.0,75.0,60.0,160000.0,USD,PH 2 AMBIENTES EN DUPLEX C/PARILLA - Villa Real
334425,M/aiYYBg5KSHa2w/fRa5uQ==,2021-12-28,2022-02-09,2021-12-28,-34.6344,-58.5114,Capital Federal,Versalles,,,,Venta,PH,4.0,3.0,229.0,168.0,195000.0,USD,VENTA VERSAILLES PH 4 AMB LOCAL COMERCIAL O GARAGE
333972,R07kvziCFCErhuqguLB/LQ==,2021-12-28,2022-01-27,2021-12-28,-34.5930877,-58.4284339,Capital Federal,Palermo,,,,Venta,Departamento,3.0,2.0,62.0,56.0,169000.0,USD,¡ Impecable piso en el corazón de Palermo !
224443,Tau9PIHqkr2R9NBwJCQSWw==,2021-09-14,2022-02-09,2021-09-14,-34.576507,-58.451339,Capital Federal,Colegiales,,,,Venta,Departamento,3.0,2.0,67.0,63.0,155000.0,USD,Excelente 3 Ambientes. Colegiales. Con Cochera
308677,4NCNwi6yQvtLDLeabZ/ewA==,2021-04-28,2021-06-04,2021-04-28,-34.5998121,-58.4059964,Capital Federal,Balvanera,,,,Venta,Departamento,2.0,1.0,26.0,26.0,45000.0,USD,VENTA DEPTO 2 AMBIENTES -BALVANERA
227103,6T7hf+f4qLjM4n9oOVKyvA==,2021-06-13,2021-06-26,2021-06-13,-34.5493873,-58.4646063,Capital Federal,Nuñez,,,,Venta,Departamento,2.0,1.0,32.0,32.0,67000.0,USD,VENTA DEPARTAMENTO 2 AMB NUÑEZ
45902,FVcDBRCaqv+JBpZHwPZkYw==,2021-05-02,2021-06-17,2021-05-02,-34.5953413,-58.4106142,Capital Federal,Barrio Norte,,,,Venta,Departamento,2.0,1.0,35.0,34.0,75000.0,USD,Departamento en venta en barrio norte 2 ambientes
360651,6hNzMMo9ev0BjZf7LV5v/g==,2021-01-16,2022-01-22,2021-01-16,-34.6430603,-58.3613523,Capital Federal,Boca,,,,Venta,Casa,6.0,4.0,199.0,157.0,160000.0,USD,Casa - Boca
280293,Zt/Gr3K9UF3kED3Ux8Kbtw==,2021-07-12,9999-12-31,2021-07-12,-34.5994205,-58.3868673,Capital Federal,Barrio Norte,,,,Venta,Departamento,5.0,3.0,137.0,,390000.0,USD,Departamento - Barrio Norte
244498,dkLDqeDn2NeZBH05+BcPNg==,2021-10-22,2022-05-11,2021-10-22,-34.5393368,-58.4661673,Capital Federal,Nuñez,,,,Venta,Departamento,2.0,1.0,41.0,37.0,104000.0,USD,Departamento luminoso 2 ambientes Nuñez Impecable
30512,l2GH6Eny1rXmNRDoXOPeVA==,2021-10-15,9999-12-31,2021-10-15,-34.5672815,-58.4858607,Capital Federal,Villa Urquiza,,,,Venta,Departamento,3.0,2.0,98.0,73.0,199000.0,USD,Departamento - Villa Urquiza
243557,MXpsITCG3P60E98bGdNq3w==,2021-02-11,9999-12-31,2021-02-11,-34.6300084,-58.4441294,Capital Federal,Caballito,,,,Venta,Departamento,3.0,2.0,91.0,58.0,179000.0,USD,Departamento de 3 ambientes con patio - Caballito
22817,arT9Sgtco1NlaWGm4aWI1A==,2021-10-01,2021-11-26,2021-10-01,-34.5830927,-58.4349582,Capital Federal,Palermo,Palermo Hollywood,,,Venta,Departamento,3.0,2.0,71.0,64.0,189000.0,USD,Departamento - Palermo Hollywood - venta - tres ambientes - 3 ambientes
203166,v4GZxXmMiRac1jbCSqsl+g==,2021-07-24,2021-11-03,2021-07-24,-34.5855329,-58.4751364,Capital Federal,Villa Urquiza,,,,Venta,Departamento,1.0,1.0,45.0,40.0,84500.0,USD,Venta Departamento Monoambiente a estrenar en Parque Chas
7938,XmjIfJ2kyBc6fRRD/r+QTw==,2021-02-09,9999-12-31,2021-02-09,-34.5786478,-58.4892139,Capital Federal,Villa Urquiza,,,,Venta,Departamento,3.0,2.0,48.0,48.0,125000.0,USD,Departamento - Villa Urquiza
257400,QiYxeeFcO5IkUTgqFJhvVg==,2021-11-03,2022-02-02,2021-11-03,-34.6202551,-58.4297249,Capital Federal,Caballito,,,,Venta,Departamento,5.0,4.0,192.0,180.0,440000.0,USD,1 - Senillosa 300
458473,dNDqOEbEWfLHcDhu7Lht2Q==,2021-05-08,2021-08-27,2021-05-08,-34.5814964288,-58.4652900696,Capital Federal,Villa Ortuzar,,,,Venta,Departamento,3.0,2.0,54.0,54.0,99000.0,USD, VENTA O PERMUTA 3 AMB EXCELENTE ZONA MUY LUMINOSO
204258,8sWemXb/1FGc2FEOMhMrgw==,2021-05-10,2021-06-05,2021-05-10,-34.6010742,-58.3971682,Capital Federal,Barrio Norte,,,,Venta,Departamento,,1.0,54.0,,105000.0,USD,Departamento - Barrio Norte
242514,NMP9/MTovHYGQ2bQD9Daow==,2021-04-01,2021-04-15,2021-04-01,-34.5893144,-58.4062381,Capital Federal,Barrio Norte,,,,Venta,Departamento,1.0,,,23.0,63000.0,USD,Departamento - Barrio Norte
195314,oKquZ2jEgzz0KR/SVfrNNQ==,2021-08-21,2022-02-09,2021-08-21,-34.5968475,-58.4094917,Capital Federal,Recoleta,,,,Venta,Departamento,1.0,,29.0,28.0,76000.0,USD,Departamento en Recoleta
393840,wq+KUDp+ln7Qx1e3vFxlsA==,2021-02-13,2022-02-09,2021-02-13,-34.6218369739,-58.3498048782,Capital Federal,Boca,,,,Venta,Casa,4.0,3.0,228.0,135.0,215000.0,USD, VENTA CASA 4 AMBIENTES HAEDO B° GÜEMES
262722,bz6XjPtapsLtkMW/ARiZVw==,2021-11-20,2022-01-27,2021-11-20,-34.5640176083,-58.4607748823,Capital Federal,Belgrano,,,,Venta,Departamento,2.0,1.0,43.0,,97900.0,USD,Departamento - Belgrano
215857,xbyCr0I2tWvC5SKub7HBuw==,2021-12-22,2022-01-27,2021-12-22,,,Capital Federal,Saavedra,,,,Venta,PH,3.0,2.0,110.0,80.0,260000.0,USD,FULL AMENITIES – PISCINA – JACUZZI - GYM – 30m2 de PATIO - 3 AMBIENTES - COCHERA – SAAVEDRA
430146,a0kR/d6o8/o8UUKAN9RnPg==,2021-12-16,2022-02-09,2021-12-16,-34.5867899,-58.4791069,Capital Federal,Parque Chas,,,,Venta,Casa,4.0,3.0,189.0,164.0,295000.0,USD,CASA 4 AMBIENTES VENTA PARQUE CHAS LOCAL TERRAZA
49899,bcPVVSU4KFMgFzNvtDBBqA==,2021-10-16,2022-01-27,2021-10-16,-34.5788613,-58.4840329,Capital Federal,Villa Urquiza,,,,Venta,Departamento,1.0,,40.0,36.0,120000.0,USD,EXCELENTE Dpto   c/Fte Super ABIERTO con BALCON MUY LUMINOSO BAJAS EXPENSAS en URQUIZA R
186878,MTTVdi88MT4PSLZ3vvfJQQ==,2021-05-25,2021-06-05,2021-05-25,-34.6198639,-58.4037022,Capital Federal,San Cristobal,,,,Venta,Departamento,4.0,3.0,78.0,70.0,125000.0,USD,Departamento - San Cristobal
246823,OceLbHzMFtkbrTGc2xl9kw==,2021-10-08,2022-03-27,2021-10-08,-34.5892011,-58.389136,Capital Federal,Recoleta,,,,Venta,Departamento,7.0,4.0,250.0,230.0,790000.0,USD,Espectacular Departamento Sobre Av Callao y Av Alvear!! 
83809,VF71nN2G1M5DIm0WK+k6ng==,2021-02-05,2022-01-08,2021-02-05,-34.5797184892,-58.4106580311,Capital Federal,Palermo,,,,Venta,Departamento,3.0,2.0,90.0,76.0,460000.0,USD,"Cerviño al 3600, piso 7, fte.,(entre Ugarteche y Scalabrini Ortiz) BALCON TERRAZA "
22836,fQS/pSe/+gWD3BPa5IDEhA==,2021-10-01,2021-11-26,2021-10-01,-34.5830927,-58.4349582,Capital Federal,Palermo,Palermo Hollywood,,,Venta,Departamento,2.0,1.0,78.0,51.0,160000.0,USD,Departamento - Palermo Hollywood - venta - 2 ambientes
28747,BLTVQcft1GkxH0ddd5jGXA==,2021-08-14,2022-03-29,2021-08-14,-34.5898314833,-58.415962271,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,42.0,35.0,118000.0,USD,Departamento de 2 ambientes en Venta en Palermo
279678,iwuRv/9d89Tkveyy7T4XRQ==,2021-07-12,9999-12-31,2021-07-12,-34.6039203,-58.416813,Capital Federal,Almagro,,,,Venta,Departamento,2.0,1.0,47.0,,99500.0,USD,Departamento - Almagro
22721,RJr+lWn1lbonT70Viv4eCg==,2021-10-01,2022-03-09,2021-10-01,-34.6018369,-58.421479,Capital Federal,Almagro,,,,Venta,Departamento,2.0,1.0,44.0,41.0,108000.0,USD,Dos ambientes con amenities en Almagro!
77578,yNc5sJBo9jQXr5v1B23oUA==,2021-12-31,2022-01-27,2021-12-31,-34.5719132302,-58.4429231701,Capital Federal,Belgrano,,,,Venta,Departamento,4.0,3.0,105.0,96.0,280000.0,USD,4 amb c/ depend con cochera. Se escuchan propuestas!
256231,fbHcc09Ql19Zj8Ie0PY+jQ==,2021-11-03,2021-12-24,2021-11-03,-34.5885379,-58.416745,Capital Federal,Palermo,,,,Venta,Departamento,3.0,2.0,60.0,51.0,160000.0,USD,Departamento - Palermo
340141,ZgljwC07EMIrNJKJxtTA1w==,2021-06-01,2021-06-08,2021-06-01,-34.6240477,-58.4105458,Capital Federal,San Cristobal,,,,Venta,Departamento,2.0,1.0,46.0,41.0,120000.0,USD,Hermoso 2 Amb C/ Cochera - San Cristobal
197095,It73cKEoCPS/gQ79wWzCgQ==,2021-07-10,2021-08-13,2021-07-10,-34.6247888,-58.4445465,Capital Federal,Caballito,,,,Venta,Departamento,3.0,2.0,65.0,65.0,190000.0,USD,MODERNO SEMIPISO EN CABALLITO CON COCHERA
339736,SH88GKbw45uTKpa15zdq8g==,2021-06-01,2021-06-05,2021-06-01,-34.5541588,-58.4536558,Capital Federal,Belgrano,,,,Venta,Departamento,2.0,1.0,49.0,40.0,145000.0,USD,Departamento A ESTRENAR 2 ambientes con amenities en Belgrano
281811,5rNMTpiQwxPkj4i3lVve/g==,2021-08-22,2022-02-09,2021-08-22,-34.5543326553,-58.4658050537,Capital Federal,Nuñez,,,,Venta,Departamento,2.0,,43.0,40.0,139000.0,USD,Nuñez Venta Dos Amb. bcón coch baul amenit. subte!
45391,bINcUjFfd98+zBOBFIQMIQ==,2021-01-26,9999-12-31,2021-01-26,-34.6178654,-58.3608683,Capital Federal,Puerto Madero,,,,Venta,Departamento,3.0,2.0,,115.0,690000.0,USD,Departamento - Puerto Madero
78376,t4DIg44+aXDe3qNSJ9o/cQ==,2021-11-10,2021-12-24,2021-11-10,-34.5520113,-58.4946448,Capital Federal,Saavedra,,,,Venta,PH,2.0,1.0,55.0,43.0,130000.0,USD,PH - Saavedra
442596,Ex1chADWKPCIKLc8jH8ZYg==,2021-05-07,2021-05-12,2021-05-07,-34.5879289,-58.3990406,Capital Federal,Recoleta,,,,Venta,Departamento,3.0,2.0,85.0,85.0,210000.0,USD,"Venta,departamento,3 ambientes y terraza,parrilla"
23178,EWmwvBGTTJ1Wj3Trl7Tw6Q==,2021-10-01,2022-03-09,2021-10-01,-34.6012175,-58.398746,Capital Federal,Balvanera,,,,Venta,Departamento,1.0,,39.0,23.0,64000.0,USD,Departamento - Balvanera
218762,99ahSLLSXI1vbafPY/0sOQ==,2021-03-07,2021-06-02,2021-03-07,-34.551626,-58.485684,Capital Federal,Saavedra,,,,Venta,PH,5.0,4.0,266.0,150.0,325000.0,USD,VENTA PH SAAVEDRA 5 AMB. SIN EXPENSAS
130331,VKtbY5k8MpTBe3wXXYn6+g==,2021-09-11,2022-03-29,2021-09-11,-34.6032406688,-58.4405217044,Capital Federal,Parque Centenario,,,,Venta,Departamento,3.0,2.0,48.0,44.0,74500.0,USD,Departamento de 3 ambientes en Venta en Parque centenario
